X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"1914",2010/08/31 00:00:00,2010/08/31 00:00:00+00,"2118",ES,ESP,España,Noroeste,Galicia,Ourense,Laza,modis,2.35849056603762,0.141509433962257,0,0,4.6698113207545,92.8301886792409,0,0,0,99.3634117566992,"0",2022/01/26 11:57:54.973,EU,EU
,,"1887",2010/08/31 00:00:00,2010/08/31 00:00:00+00,"600",ES,ESP,España,Noroeste,Galicia,Ourense,Chandrexa de Queixa,modis,4.15973377703758,0,0,0,0,95.8402662229458,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"2300",2010/08/31 00:00:00,2010/08/31 00:00:00+00,"82",PT,PRT,Portugal,Continente,Norte,Cávado,Aboim da Nóbrega e Gondomar,modis,0,0,0,0,0,92.5925925924783,7.40740740739826,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"4006",2010/08/31 00:00:00,2010/08/31 00:00:00+00,"174",ES,ESP,España,Noroeste,Galicia,Ourense,Manzaneda,modis,16.0919540229793,0,0,0,0,83.9080459769633,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"2298",2010/09/01 00:00:00,2010/09/01 00:00:00+00,"776",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,Campelo e Ovil,modis,0.515463917525707,0,3.22164948453567,0,65.0773195876205,10.4381443298956,19.2010309278326,1.54639175257712,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"2299",2010/09/01 00:00:00,2010/09/01 00:00:00+00,"847",PT,PRT,Portugal,Continente,Norte,Tâmega e Sousa,"Alhões, Bustelo, Gralheira e Ramires",modis,0,0,0.470588235294062,0,13.2941176470573,76.3529411764616,9.88235294117531,0,0,94.1648947522084,"0",2022/01/26 11:57:54.973,EU,EU
,,"2934",2010/09/01 00:00:00,2010/09/01 00:00:00+00,"4692",PT,PRT,Portugal,Continente,Norte,Alto Tâmega,Covas do Barroso,modis,0.638841567291298,1.89522998296418,1.44804088586028,0,78.5775127768297,10.1149914821122,7.32538330494022,0,0,0,"0",2022/01/26 11:57:54.973,EU,EU
,,"4005",2010/09/01 00:00:00,2010/09/01 00:00:00+00,"59",EL,GRC,Ελλάδα ,Κεντρική Ελλάδα,Δυτική Ελλάδα,Αιτωλοακαρνανία,Δημοτική Κοινότητα Μεσολογγίου,modis,0,0,0,58.3333333332361,0,0,41.6666666665972,0,0,32.60311667098,"0",2022/01/26 11:57:54.973,EU,EU
,,"4302",2010/09/01 00:00:00,2010/09/01 00:00:00+00,"255",PT,PRT,Portugal,Continente,Norte,Área Metropolitana do Porto,Covelo de Paivó e Janarde,modis,0,0,0,0,8.52713178294243,91.4728682170188,0,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
,,"3403",2010/09/02 00:00:00,2010/09/02 00:00:00+00,"272",PT,PRT,Portugal,Continente,Norte,Ave,Ermelo e Pardelhas,modis,0.366300366300232,0,0,0,85.7142857142543,12.8205128205081,1.0989010989007,0,0,100,"0",2022/01/26 11:57:54.973,EU,EU
