,admlvl2,name,country,artificial_2012,agricultural_2012,forested_2012,water_2012,artificial_2018,agricultural_2018,forested_2018,water_2018
1522,ES43,extremadura,ES,0.010974051,0.611182845,0.360406295,0.017436809,0.010900288,0.611895002,0.359454109,0.017750601
1523,ES51,cataluna,ES,0.046889587,0.343676791,0.591041265,0.008091741,0.047167486,0.344095662,0.590350719,0.008085517
1524,ES52,comunitat valenciana,ES,0.054668578,0.373522615,0.551565749,0.011513544,0.054894946,0.37351149,0.551330395,0.011533656
1525,ES53,illes balears,ES,0.051359321,0.510250454,0.355562513,0.028697233,0.051480509,0.510474652,0.355277722,0.028636639
1526,ES61,andalucia,ES,0.025155113,0.560064255,0.392101396,0.018680376,0.025253774,0.560661236,0.391323725,0.018762404
1527,ES62,region de murcia,ES,0.035904913,0.555234182,0.399756981,0.003448215,0.036220396,0.555445387,0.399230293,0.003448215
1528,ES63,ciudad de ceuta,ES,0.13,0.035555556,0.276666667,0.002222222,0.13,0.035555556,0.276666667,0.002222222
1529,ES64,ciudad de melilla,ES,0.320909091,0.033636364,0.009090909,0,0.320909091,0.033636364,0.009090909,0
1546,GR13,dytiki makedonia,EL,0.029063262,0.35062202,0.586685387,0.026105754,0.031001378,0.348690262,0.585378828,0.027405955
1547,GR21,ipeiros,EL,0.017719317,0.229941298,0.717359496,0.019217306,0.018556365,0.229385803,0.717082292,0.019212958
1548,GR14,thessalia,EL,0.025099088,0.425918877,0.517278301,0.016591104,0.025255204,0.425816225,0.517222697,0.016593242
1549,GR22,ionia nisia,EL,0.035535007,0.434429767,0.345297226,0.034143549,0.03560546,0.43453985,0.345116689,0.034143549
1550,GR23,dytiki ellada,EL,0.017546988,0.405416301,0.517267697,0.039568769,0.018189004,0.405009661,0.51703232,0.039568769
1551,ES70,canarias,ES,0.05019555,0.187378287,0.683448415,0.007096426,0.050404585,0.187382333,0.683235334,0.007096426
1595,GR42,notio aigaio,EL,0.023669922,0.256388672,0.505886719,0.036320313,0.0236875,0.256363281,0.505894531,0.036320313
1602,GR24,sterea ellada,EL,0.023234897,0.306643505,0.619250466,0.023784984,0.023807502,0.306538635,0.618821978,0.023745738
1603,GR23,peloponnisos,EL,0.017540503,0.371745121,0.56354956,0.024457839,0.017729302,0.371737467,0.563321214,0.024505039
1604,ES11,galicia,ES,0.022244787,0.297818952,0.656184438,0.015377522,0.022340736,0.298365825,0.65555823,0.015360909
1605,ES12,principado de asturias,ES,0.023520847,0.243256122,0.718644228,0.005029782,0.02331474,0.244027607,0.71807885,0.005029782
1606,ES13,cantabria,ES,0.028997331,0.279510103,0.662338925,0.017906977,0.028982082,0.2796626,0.662028212,0.018080442
1607,ES21,pais vasco,ES,0.056116424,0.28,0.644176022,0.010559945,0.056953569,0.279969508,0.643369369,0.010559945
1608,ES22,comunidad foral de navarra,ES,0.019371758,0.421907781,0.547054755,0.005517771,0.019246878,0.422216138,0.546894332,0.005494717
1609,ES23,la rioja,ES,0.019728336,0.37294071,0.602673012,0.004657942,0.019494349,0.373543526,0.602244696,0.00471743
1610,ES24,aragon,ES,0.01084881,0.457702309,0.523954691,0.005923871,0.010918741,0.45746069,0.523841837,0.006208413
1611,ES30,comunidad de madrid,ES,0.150821371,0.365923106,0.475305205,0.007950318,0.152265635,0.365144177,0.47463987,0.007950318
1638,ES41,castilla y leon,ES,0.013714756,0.511400117,0.470096461,0.004788667,0.013847191,0.511854407,0.469487133,0.00481127
1639,ES42,castilla-la mancha,ES,0.012561634,0.54461371,0.437087502,0.005737154,0.012490404,0.544789142,0.43698695,0.005733504
1646,GR30,attiki,EL,0.192369044,0.25389313,0.454058963,0.027291392,0.192118979,0.254001053,0.454201106,0.027291392
1647,GR41,voreio aigaio,EL,0.013833249,0.34243518,0.483558719,0.068408744,0.013833249,0.342076767,0.483917133,0.068408744
1648,GR43,kriti,EL,0.018559913,0.421513474,0.492276227,0.027948749,0.018380654,0.421600096,0.492153513,0.0281641
1649,GR11,"anatoliki makedonia, thraki",EL,0.022317797,0.368626412,0.549808616,0.029444915,0.022576977,0.368500706,0.54970339,0.029416667
1650,GR12,kentriki makedonia,EL,0.037019591,0.50707451,0.406921371,0.029234831,0.037439932,0.506734963,0.406732851,0.029342557
1691,PT16,centro (pt),PT,0.035390101,0.353919816,0.595591272,0.010983147,0.035811602,0.354336349,0.594544261,0.011192123
1692,PT17,area metropolitana de lisboa,PT,0.207198844,0.410205589,0.250269836,0.108233216,0.208181818,0.409704465,0.249787986,0.108233216
1713,PT18,alentejo,PT,0.011133422,0.63863818,0.330638244,0.017813729,0.011354206,0.636512498,0.332381677,0.017975194
1714,PT20,regiao autonoma dos acores,PT,0.037708604,0.474448768,0.322939905,0.031742326,0.037652399,0.476355383,0.321089494,0.031742326
1715,PT30,regiao autonoma da madeira,PT,0.121607143,0.119247449,0.650433673,0.002844388,0.121607143,0.119119898,0.650561224,0.002844388
1749,PT11,norte,PT,0.051932749,0.437465386,0.500247245,0.008329566,0.052291608,0.43945041,0.496183008,0.01004992
1750,PT15,algarve,PT,0.035053417,0.373682725,0.544569643,0.026738561,0.035539206,0.373716993,0.543954848,0.0268333
